PGC,Name,RAJ2000,DEJ2000,TT,Bmag,Ksmag,logK,HRV,VLS,Dist,e_Dist,PGC1,CF3
3998742,"SDSSJ100058.57+114514.5",150.2442,11.7541,,17.99,15.21,8.38,2971,2824,,,3998742,0
28887,"PGC028887",149.9313,11.6608,-5.0,14.63,11.17,9.98,2816,2669,,,28821,0
2807015,"PGC2807015",149.9077,11.7733,9.5,17.53,15.18,8.37,2993,2846,,,28821,0
29435,"IC0591",151.8654,12.2744,6.0,14.0,11.5,9.81,2816,2672,,,29435,0
29488,"Leo I",152.1166,12.3064,-4.8,11.0,6.9,7.36,283,140,0.25,6,5064336,1
29413,"UGC05454",151.7958,12.6513,8.0,15.35,12.18,9.54,2792,2650,,,29435,0
1418410,"PGC1418410",151.7772,12.8975,9.0,18.11,15.19,8.32,2721,2580,,,29321,0
2806981,"PGC2806981",151.8885,13.1067,9.0,16.89,14.28,8.69,2740,2600,,,29466,0
29466,"PGC029466",151.9878,13.2273,6.2,14.54,12.39,9.44,2775,2636,53.95,14,29466,1
29321,"PGC029321",151.4632,12.9613,2.9,14.98,11.52,9.79,2810,2670,,,29321,0
29209,"NGC3107",151.094,13.6212,4.0,13.21,10.41,10.25,2815,2678,,,29209,0
1371096,"PGC1371096",157.2324,9.8623,,16.55,12.43,8.62,1188,1036,,,1371096,0
31302,"NGC3279",158.6782,11.1971,6.4,12.43,9.41,9.99,1389,1244,32.96,14,31302,1
3537201,"SDSSJ103441.24+111223.6",158.672,11.2066,,16.09,12.33,8.91,1525,1380,,,3537201,0
3537249,"SDSSJ103456.13+112932.5",158.7337,11.4923,10.0,17.41,15.1,7.55,1177,1034,,,3537249,0
31554,"PGC031554",159.3473,12.1565,3.3,15.08,13.01,9.24,2901,2761,,,31554,0
3999559,"SDSSJ103142.10+121656.6",157.9255,12.2824,10.0,17.82,15.18,8.36,2857,2717,,,3999559,0
4534523,"SDSSJ103734.02+122753.8",159.3916,12.465,,16.61,12.43,9.47,2831,2693,,,31528,0
31528,"NGC3306",159.2927,12.6524,7.8,13.41,10.49,10.25,2889,2752,43.65,14,31528,1
4075024,"SDSSJ103709.90+123921.0",159.2913,12.6558,,17.33,14.58,8.61,2977,2840,,,31528,0
